"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
24,1,0,"4","4",0,1.84328676646497,3.66330374001805
25,1,0,"5","5",1,3.74199557884683,3.01411336934586
26,1,0,"6","6",1,3.74199557884683,3.01411336934586
27,1,0,"7","7",0,1.84328676646497,3.66330374001805
28,1,0,"1","1",0,1.84328676646497,3.66330374001805
29,1,0,"2","2",0,1.84328676646497,3.66330374001805
30,1,0,"3","3",0,1.84328676646497,3.66330374001805
31,1,0,"4","4",0,1.84328676646497,3.66330374001805
32,1,0,"5","5",1,3.74199557884683,3.01411336934586
33,1,0,"6","6",1,3.74199557884683,3.01411336934586
34,1,0,"7","7",0,1.84328676646497,3.66330374001805
35,1,0,"1","1",0,1.84328676646497,3.66330374001805
36,1,0,"2","2",0,1.84328676646497,3.66330374001805
37,1,0,"3","3",0,1.84328676646497,3.66330374001805
38,1,0,"4","4",0,1.84328676646497,3.66330374001805
39,1,0,"5","5",1,3.74199557884683,3.01411336934586
40,1,0,"6","6",1,3.74199557884683,3.01411336934586
41,1,0,"7","7",0,1.84328676646497,3.66330374001805
42,1,0,"1","1",0,1.84328676646497,3.66330374001805
43,1,0,"2","2",0,1.84328676646497,3.66330374001805
44,1,0,"3","3",0,1.84328676646497,3.66330374001805
45,1,0,"4","4",0,1.84328676646497,3.66330374001805
46,1,0,"5","5",1,3.74199557884683,3.01411336934586
47,1,0,"6","6",1,3.74199557884683,3.01411336934586
48,1,0,"7","7",0,1.84328676646497,3.66330374001805
49,1,0,"1","1",0,1.84328676646497,3.66330374001805
50,1,0,"2","2",0,1.84328676646497,3.66330374001805
51,1,0,"3","3",0,1.84328676646497,3.66330374001805
52,1,0,"4","4",0,1.84328676646497,3.66330374001805
53,1,0,"5","5",1,3.74199557884683,3.01411336934586
54,1,0,"6","6",1,3.74199557884683,3.01411336934586
55,1,0,"7","7",0,1.84328676646497,3.66330374001805
56,1,0,"1","1",0,1.84328676646497,3.66330374001805
57,1,0,"2","2",0,1.84328676646497,3.66330374001805
58,1,0,"3","3",0,1.84328676646497,3.66330374001805
59,1,0,"4","4",0,1.84328676646497,3.66330374001805
60,1,0,"5","5",1,3.74199557884683,3.01411336934586
61,1,0,"6","6",1,3.74199557884683,3.01411336934586
62,1,0,"7","7",0,1.84328676646497,3.66330374001805
63,1,0,"1","1",0,1.84328676646497,3.66330374001805
64,1,0,"2","2",0,1.84328676646497,3.66330374001805
65,1,0,"3","3",0,1.84328676646497,3.66330374001805
66,1,0,"4","4",0,1.84328676646497,3.66330374001805
67,1,0,"5","5",1,3.74199557884683,3.01411336934586
68,1,0,"6","6",1,3.74199557884683,3.01411336934586
69,1,0,"7","7",0,1.84328676646497,3.66330374001805
70,1,0,"1","1",0,1.84328676646497,3.66330374001805
71,1,0,"2","2",0,1.84328676646497,3.66330374001805
72,1,0,"3","3",0,1.84328676646497,3.66330374001805
73,1,0,"4","4",0,1.84328676646497,3.66330374001805
74,1,0,"5","5",1,3.74199557884683,3.01411336934586
75,1,0,"6","6",1,3.74199557884683,3.01411336934586
76,1,0,"7","7",0,1.84328676646497,3.66330374001805
77,1,0,"1","1",0,1.84328676646497,3.66330374001805
78,1,0,"2","2",0,1.84328676646497,3.66330374001805
79,1,0,"3","3",0,1.84328676646497,3.66330374001805
80,1,0,"4","4",0,1.84328676646497,3.66330374001805
81,1,0,"5","5",1,3.74199557884683,3.01411336934586
82,1,0,"6","6",1,3.74199557884683,3.01411336934586
83,1,0,"7","7",0,1.84328676646497,3.66330374001805
84,1,0,"1","1",0,1.84328676646497,3.66330374001805
24,2,0,"4","5",0,1.84328676646497,3.66330374001805
25,2,0,"5","6",1,3.74199557884683,3.01411336934586
26,2,0,"6","7",1,3.74199557884683,3.01411336934586
27,2,0,"7","1",0,1.84328676646497,3.66330374001805
28,2,0,"1","2",0,1.84328676646497,3.66330374001805
29,2,0,"2","3",0,1.84328676646497,3.66330374001805
30,2,0,"3","4",0,1.84328676646497,3.66330374001805
31,2,0,"4","5",0,1.84328676646497,3.66330374001805
32,2,0,"5","6",1,3.74199557884683,3.01411336934586
33,2,0,"6","7",1,3.74199557884683,3.01411336934586
34,2,0,"7","1",0,1.84328676646497,3.66330374001805
35,2,0,"1","2",0,1.84328676646497,3.66330374001805
36,2,0,"2","3",0,1.84328676646497,3.66330374001805
37,2,0,"3","4",0,1.84328676646497,3.66330374001805
38,2,0,"4","5",0,1.84328676646497,3.66330374001805
39,2,0,"5","6",1,3.74199557884683,3.01411336934586
40,2,0,"6","7",1,3.74199557884683,3.01411336934586
41,2,0,"7","1",0,1.84328676646497,3.66330374001805
42,2,0,"1","2",0,1.84328676646497,3.66330374001805
43,2,0,"2","3",0,1.84328676646497,3.66330374001805
44,2,0,"3","4",0,1.84328676646497,3.66330374001805
45,2,0,"4","5",0,1.84328676646497,3.66330374001805
