"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
36,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
37,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
38,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
39,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
40,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
41,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
42,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
43,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
44,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
45,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
46,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
47,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
48,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
49,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
50,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
51,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
52,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
53,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
54,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
55,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
56,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
57,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
58,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
59,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
60,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
61,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
62,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
63,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
64,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
65,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
66,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
67,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
68,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
69,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
70,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
71,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
72,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
73,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
74,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
75,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
76,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
77,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
78,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
79,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
80,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
81,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
82,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
83,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
84,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
85,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
86,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
87,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
88,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
89,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
90,1,0.001,"7","7",0,2.06822670825692,3.53071043673278
91,1,0.001,"1","1",0,2.06822670825692,3.53071043673278
92,1,0.001,"2","2",0,2.06822670825692,3.53071043673278
93,1,0.001,"3","3",0,2.06822670825692,3.53071043673278
94,1,0.001,"4","4",0,2.06822670825692,3.53071043673278
95,1,0.001,"5","5",1,3.73030307856658,3.16392943388531
96,1,0.001,"6","6",1,3.73030307856658,3.16392943388531
36,2,0,"2","3",0,2.06822670825692,3.53071043673278
37,2,0,"3","4",0,2.06822670825692,3.53071043673278
38,2,0,"4","5",0,2.06822670825692,3.53071043673278
39,2,0,"5","6",1,3.73030307856658,3.16392943388531
40,2,0,"6","7",1,3.73030307856658,3.16392943388531
41,2,0,"7","1",0,2.06822670825692,3.53071043673278
42,2,0,"1","2",0,2.06822670825692,3.53071043673278
43,2,0,"2","3",0,2.06822670825692,3.53071043673278
44,2,0,"3","4",0,2.06822670825692,3.53071043673278
45,2,0,"4","5",0,2.06822670825692,3.53071043673278
46,2,0,"5","6",1,3.73030307856658,3.16392943388531
47,2,0,"6","7",1,3.73030307856658,3.16392943388531
48,2,0,"7","1",0,2.06822670825692,3.53071043673278
49,2,0,"1","2",0,2.06822670825692,3.53071043673278
50,2,0,"2","3",0,2.06822670825692,3.53071043673278
51,2,0,"3","4",0,2.06822670825692,3.53071043673278
52,2,0,"4","5",0,2.06822670825692,3.53071043673278
53,2,0,"5","6",1,3.73030307856658,3.16392943388531
54,2,0,"6","7",1,3.73030307856658,3.16392943388531
55,2,0,"7","1",0,2.06822670825692,3.53071043673278
