"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
53,1,0,"5","5",1,2.11620944345762,15.4417210368517
54,1,0,"6","6",1,2.11620944345762,15.4417210368517
55,1,0,"7","7",0,2.11620944345762,15.4417210368517
56,1,0,"1","1",0,2.11620944345762,15.4417210368517
57,1,0,"2","2",0,2.11620944345762,15.4417210368517
58,1,0,"3","3",0,2.11620944345762,15.4417210368517
59,1,0,"4","4",0,2.11620944345762,15.4417210368517
60,1,0,"5","5",1,2.11620944345762,15.4417210368517
61,1,0,"6","6",1,2.11620944345762,15.4417210368517
62,1,0,"7","7",0,2.11620944345762,15.4417210368517
63,1,0,"1","1",0,2.11620944345762,15.4417210368517
64,1,0,"2","2",0,2.11620944345762,15.4417210368517
65,1,0,"3","3",0,2.11620944345762,15.4417210368517
66,1,0,"4","4",0,2.11620944345762,15.4417210368517
67,1,0,"5","5",1,2.11620944345762,15.4417210368517
68,1,0,"6","6",1,2.11620944345762,15.4417210368517
69,1,0,"7","7",0,2.11620944345762,15.4417210368517
70,1,0,"1","1",0,2.11620944345762,15.4417210368517
71,1,0,"2","2",0,2.11620944345762,15.4417210368517
72,1,0,"3","3",0,2.11620944345762,15.4417210368517
73,1,0,"4","4",0,2.11620944345762,15.4417210368517
74,1,0,"5","5",1,2.11620944345762,15.4417210368517
75,1,0,"6","6",1,2.11620944345762,15.4417210368517
76,1,0,"7","7",0,2.11620944345762,15.4417210368517
77,1,0,"1","1",0,2.11620944345762,15.4417210368517
78,1,0,"2","2",0,2.11620944345762,15.4417210368517
79,1,0,"3","3",0,2.11620944345762,15.4417210368517
80,1,0,"4","4",0,2.11620944345762,15.4417210368517
81,1,0,"5","5",1,2.11620944345762,15.4417210368517
82,1,0,"6","6",1,2.11620944345762,15.4417210368517
83,1,0,"7","7",0,2.11620944345762,15.4417210368517
84,1,0,"1","1",0,2.11620944345762,15.4417210368517
85,1,0,"2","2",0,2.11620944345762,15.4417210368517
