"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
63,1,0,"1","1",0,2.12288481247668,15.3952873024127
64,1,0,"2","2",0,2.12288481247668,15.3952873024127
65,1,0,"3","3",0,2.12288481247668,15.3952873024127
66,1,0,"4","4",0,2.12288481247668,15.3952873024127
67,1,0,"5","5",1,2.12288481247668,15.3952873024127
68,1,0,"6","6",1,2.12288481247668,15.3952873024127
69,1,0,"7","7",0,2.12288481247668,15.3952873024127
70,1,0,"1","1",0,2.12288481247668,15.3952873024127
71,1,0,"2","2",0,2.12288481247668,15.3952873024127
72,1,0,"3","3",0,2.12288481247668,15.3952873024127
73,1,0,"4","4",0,2.12288481247668,15.3952873024127
74,1,0,"5","5",1,2.12288481247668,15.3952873024127
75,1,0,"6","6",1,2.12288481247668,15.3952873024127
76,1,0,"7","7",0,2.12288481247668,15.3952873024127
77,1,0,"1","1",0,2.12288481247668,15.3952873024127
78,1,0,"2","2",0,2.12288481247668,15.3952873024127
79,1,0,"3","3",0,2.12288481247668,15.3952873024127
80,1,0,"4","4",0,2.12288481247668,15.3952873024127
81,1,0,"5","5",1,2.12288481247668,15.3952873024127
82,1,0,"6","6",1,2.12288481247668,15.3952873024127
83,1,0,"7","7",0,2.12288481247668,15.3952873024127
84,1,0,"1","1",0,2.12288481247668,15.3952873024127
85,1,0,"2","2",0,2.12288481247668,15.3952873024127
86,1,0,"3","3",0,2.12288481247668,15.3952873024127
87,1,0,"4","4",0,2.12288481247668,15.3952873024127
88,1,0,"5","5",1,2.12288481247668,15.3952873024127
89,1,0,"6","6",1,2.12288481247668,15.3952873024127
90,1,0,"7","7",0,2.12288481247668,15.3952873024127
91,1,0,"1","1",0,2.12288481247668,15.3952873024127
92,1,0,"2","2",0,2.12288481247668,15.3952873024127
93,1,0,"3","3",0,2.12288481247668,15.3952873024127
94,1,0,"4","4",0,2.12288481247668,15.3952873024127
95,1,0,"5","5",1,2.12288481247668,15.3952873024127
96,1,0,"6","6",1,2.12288481247668,15.3952873024127
97,1,0,"7","7",0,2.12288481247668,15.3952873024127
98,1,0,"1","1",0,2.12288481247668,15.3952873024127
99,1,0,"2","2",0,2.12288481247668,15.3952873024127
100,1,0,"3","3",0,2.12288481247668,15.3952873024127
101,1,0,"4","4",0,2.12288481247668,15.3952873024127
102,1,0,"5","5",1,2.12288481247668,15.3952873024127
103,1,0,"6","6",1,2.12288481247668,15.3952873024127
104,1,0,"7","7",0,2.12288481247668,15.3952873024127
105,1,0,"1","1",0,2.12288481247668,15.3952873024127
106,1,0,"2","2",0,2.12288481247668,15.3952873024127
107,1,0,"3","3",0,2.12288481247668,15.3952873024127
108,1,0,"4","4",0,2.12288481247668,15.3952873024127
109,1,0,"5","5",1,2.12288481247668,15.3952873024127
110,1,0,"6","6",1,2.12288481247668,15.3952873024127
111,1,0,"7","7",0,2.12288481247668,15.3952873024127
112,1,0,"1","1",0,2.12288481247668,15.3952873024127
113,1,0,"2","2",0,2.12288481247668,15.3952873024127
114,1,0,"3","3",0,2.12288481247668,15.3952873024127
115,1,0,"4","4",0,2.12288481247668,15.3952873024127
116,1,0,"5","5",1,2.12288481247668,15.3952873024127
117,1,0,"6","6",1,2.12288481247668,15.3952873024127
118,1,0,"7","7",0,2.12288481247668,15.3952873024127
119,1,0,"1","1",0,2.12288481247668,15.3952873024127
120,1,0,"2","2",0,2.12288481247668,15.3952873024127
121,1,0,"3","3",0,2.12288481247668,15.3952873024127
122,1,0,"4","4",0,2.12288481247668,15.3952873024127
123,1,0,"5","5",1,2.12288481247668,15.3952873024127
63,2,0,"1","2",0,2.12288481247668,15.3952873024127
64,2,0,"2","3",0,2.12288481247668,15.3952873024127
65,2,0,"3","4",0,2.12288481247668,15.3952873024127
66,2,0,"4","5",0,2.12288481247668,15.3952873024127
67,2,0,"5","6",1,2.12288481247668,15.3952873024127
68,2,0,"6","7",1,2.12288481247668,15.3952873024127
69,2,0,"7","1",0,2.12288481247668,15.3952873024127
70,2,0,"1","2",0,2.12288481247668,15.3952873024127
71,2,0,"2","3",0,2.12288481247668,15.3952873024127
72,2,0,"3","4",0,2.12288481247668,15.3952873024127
73,2,0,"4","5",0,2.12288481247668,15.3952873024127
74,2,0,"5","6",1,2.12288481247668,15.3952873024127
75,2,0,"6","7",1,2.12288481247668,15.3952873024127
76,2,0,"7","1",0,2.12288481247668,15.3952873024127
77,2,0,"1","2",0,2.12288481247668,15.3952873024127
78,2,0,"2","3",0,2.12288481247668,15.3952873024127
79,2,0,"3","4",0,2.12288481247668,15.3952873024127
80,2,0,"4","5",0,2.12288481247668,15.3952873024127
81,2,0,"5","6",1,2.12288481247668,15.3952873024127
82,2,0,"6","7",1,2.12288481247668,15.3952873024127
83,2,0,"7","1",0,2.12288481247668,15.3952873024127
84,2,0,"1","2",0,2.12288481247668,15.3952873024127
85,2,0,"2","3",0,2.12288481247668,15.3952873024127
86,2,0,"3","4",0,2.12288481247668,15.3952873024127
87,2,0,"4","5",0,2.12288481247668,15.3952873024127
88,2,0,"5","6",1,2.12288481247668,15.3952873024127
