"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
50,1,0.001,"2","2",0,2.18071057817381,15.2006610225001
51,1,0.001,"3","3",0,2.18071057817381,15.2006610225001
52,1,0.001,"4","4",0,2.18071057817381,15.2006610225001
53,1,0.001,"5","5",1,2.18071057817381,15.2006610225001
54,1,0.001,"6","6",1,2.18071057817381,15.2006610225001
55,1,0.001,"7","7",0,2.18071057817381,15.2006610225001
56,1,0.001,"1","1",0,2.18071057817381,15.2006610225001
57,1,0.001,"2","2",0,2.18071057817381,15.2006610225001
58,1,0.001,"3","3",0,2.18071057817381,15.2006610225001
59,1,0.001,"4","4",0,2.18071057817381,15.2006610225001
60,1,0.001,"5","5",1,2.18071057817381,15.2006610225001
61,1,0.001,"6","6",1,2.18071057817381,15.2006610225001
62,1,0.001,"7","7",0,2.18071057817381,15.2006610225001
63,1,0.001,"1","1",0,2.18071057817381,15.2006610225001
64,1,0.001,"2","2",0,2.18071057817381,15.2006610225001
65,1,0.001,"3","3",0,2.18071057817381,15.2006610225001
66,1,0.001,"4","4",0,2.18071057817381,15.2006610225001
67,1,0.001,"5","5",1,2.18071057817381,15.2006610225001
68,1,0.001,"6","6",1,2.18071057817381,15.2006610225001
69,1,0.001,"7","7",0,2.18071057817381,15.2006610225001
70,1,0.001,"1","1",0,2.18071057817381,15.2006610225001
71,1,0.001,"2","2",0,2.18071057817381,15.2006610225001
72,1,0.001,"3","3",0,2.18071057817381,15.2006610225001
73,1,0.001,"4","4",0,2.18071057817381,15.2006610225001
74,1,0.001,"5","5",1,2.18071057817381,15.2006610225001
75,1,0.001,"6","6",1,2.18071057817381,15.2006610225001
76,1,0.001,"7","7",0,2.18071057817381,15.2006610225001
77,1,0.001,"1","1",0,2.18071057817381,15.2006610225001
78,1,0.001,"2","2",0,2.18071057817381,15.2006610225001
79,1,0.001,"3","3",0,2.18071057817381,15.2006610225001
80,1,0.001,"4","4",0,2.18071057817381,15.2006610225001
81,1,0.001,"5","5",1,2.18071057817381,15.2006610225001
82,1,0.001,"6","6",1,2.18071057817381,15.2006610225001
83,1,0.001,"7","7",0,2.18071057817381,15.2006610225001
84,1,0.001,"1","1",0,2.18071057817381,15.2006610225001
85,1,0.001,"2","2",0,2.18071057817381,15.2006610225001
86,1,0.001,"3","3",0,2.18071057817381,15.2006610225001
87,1,0.001,"4","4",0,2.18071057817381,15.2006610225001
88,1,0.001,"5","5",1,2.18071057817381,15.2006610225001
89,1,0.001,"6","6",1,2.18071057817381,15.2006610225001
90,1,0.001,"7","7",0,2.18071057817381,15.2006610225001
91,1,0.001,"1","1",0,2.18071057817381,15.2006610225001
92,1,0.001,"2","2",0,2.18071057817381,15.2006610225001
93,1,0.001,"3","3",0,2.18071057817381,15.2006610225001
94,1,0.001,"4","4",0,2.18071057817381,15.2006610225001
95,1,0.001,"5","5",1,2.18071057817381,15.2006610225001
96,1,0.001,"6","6",1,2.18071057817381,15.2006610225001
97,1,0.001,"7","7",0,2.18071057817381,15.2006610225001
98,1,0.001,"1","1",0,2.18071057817381,15.2006610225001
