"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
98,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
99,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
100,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
101,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
102,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
103,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
104,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
105,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
106,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
107,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
108,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
109,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
110,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
111,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
112,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
113,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
114,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
115,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
116,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
117,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
118,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
119,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
120,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
121,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
122,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
123,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
124,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
125,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
126,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
127,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
128,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
129,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
130,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
131,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
132,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
133,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
134,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
135,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
136,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
137,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
138,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
139,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
140,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
141,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
142,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
143,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
144,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
145,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
146,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
147,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
148,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
149,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
150,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
151,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
152,1,0.001,"6","6",1,2.05556808207189,15.1075754053964
153,1,0.001,"7","7",0,2.05556808207189,15.1075754053964
154,1,0.001,"1","1",0,2.05556808207189,15.1075754053964
155,1,0.001,"2","2",0,2.05556808207189,15.1075754053964
156,1,0.001,"3","3",0,2.05556808207189,15.1075754053964
157,1,0.001,"4","4",0,2.05556808207189,15.1075754053964
158,1,0.001,"5","5",1,2.05556808207189,15.1075754053964
98,2,0,"1","2",0,2.05556808207189,15.1075754053964
99,2,0,"2","3",0,2.05556808207189,15.1075754053964
100,2,0,"3","4",0,2.05556808207189,15.1075754053964
101,2,0,"4","5",0,2.05556808207189,15.1075754053964
102,2,0,"5","6",1,2.05556808207189,15.1075754053964
103,2,0,"6","7",1,2.05556808207189,15.1075754053964
104,2,0,"7","1",0,2.05556808207189,15.1075754053964
105,2,0,"1","2",0,2.05556808207189,15.1075754053964
106,2,0,"2","3",0,2.05556808207189,15.1075754053964
107,2,0,"3","4",0,2.05556808207189,15.1075754053964
108,2,0,"4","5",0,2.05556808207189,15.1075754053964
109,2,0,"5","6",1,2.05556808207189,15.1075754053964
110,2,0,"6","7",1,2.05556808207189,15.1075754053964
111,2,0,"7","1",0,2.05556808207189,15.1075754053964
112,2,0,"1","2",0,2.05556808207189,15.1075754053964
