"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
48,1,0,"7","7",0,2.16780109318141,15.3074691347349
49,1,0,"1","1",0,2.16780109318141,15.3074691347349
50,1,0,"2","2",0,2.16780109318141,15.3074691347349
51,1,0,"3","3",0,2.16780109318141,15.3074691347349
52,1,0,"4","4",0,2.16780109318141,15.3074691347349
53,1,0,"5","5",1,2.16780109318141,15.3074691347349
54,1,0,"6","6",1,2.16780109318141,15.3074691347349
55,1,0,"7","7",0,2.16780109318141,15.3074691347349
56,1,0,"1","1",0,2.16780109318141,15.3074691347349
57,1,0,"2","2",0,2.16780109318141,15.3074691347349
58,1,0,"3","3",0,2.16780109318141,15.3074691347349
59,1,0,"4","4",0,2.16780109318141,15.3074691347349
60,1,0,"5","5",1,2.16780109318141,15.3074691347349
61,1,0,"6","6",1,2.16780109318141,15.3074691347349
62,1,0,"7","7",0,2.16780109318141,15.3074691347349
63,1,0,"1","1",0,2.16780109318141,15.3074691347349
64,1,0,"2","2",0,2.16780109318141,15.3074691347349
65,1,0,"3","3",0,2.16780109318141,15.3074691347349
66,1,0,"4","4",0,2.16780109318141,15.3074691347349
67,1,0,"5","5",1,2.16780109318141,15.3074691347349
68,1,0,"6","6",1,2.16780109318141,15.3074691347349
69,1,0,"7","7",0,2.16780109318141,15.3074691347349
70,1,0,"1","1",0,2.16780109318141,15.3074691347349
71,1,0,"2","2",0,2.16780109318141,15.3074691347349
72,1,0,"3","3",0,2.16780109318141,15.3074691347349
73,1,0,"4","4",0,2.16780109318141,15.3074691347349
74,1,0,"5","5",1,2.16780109318141,15.3074691347349
75,1,0,"6","6",1,2.16780109318141,15.3074691347349
76,1,0,"7","7",0,2.16780109318141,15.3074691347349
77,1,0,"1","1",0,2.16780109318141,15.3074691347349
78,1,0,"2","2",0,2.16780109318141,15.3074691347349
79,1,0,"3","3",0,2.16780109318141,15.3074691347349
80,1,0,"4","4",0,2.16780109318141,15.3074691347349
81,1,0,"5","5",1,2.16780109318141,15.3074691347349
82,1,0,"6","6",1,2.16780109318141,15.3074691347349
