"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
70,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
71,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
72,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
73,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
74,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
75,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
76,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
77,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
78,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
79,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
80,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
81,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
82,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
83,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
84,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
85,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
86,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
87,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
88,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
89,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
90,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
91,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
92,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
93,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
94,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
95,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
96,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
97,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
98,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
99,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
100,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
101,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
102,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
103,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
104,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
105,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
106,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
107,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
108,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
109,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
110,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
111,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
112,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
113,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
114,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
115,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
116,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
117,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
118,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
119,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
120,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
121,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
122,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
123,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
124,1,0.001,"6","6",1,2.09656117366909,15.2547790124528
125,1,0.001,"7","7",0,2.09656117366909,15.2547790124528
126,1,0.001,"1","1",0,2.09656117366909,15.2547790124528
127,1,0.001,"2","2",0,2.09656117366909,15.2547790124528
128,1,0.001,"3","3",0,2.09656117366909,15.2547790124528
129,1,0.001,"4","4",0,2.09656117366909,15.2547790124528
130,1,0.001,"5","5",1,2.09656117366909,15.2547790124528
70,2,0,"1","2",0,2.09656117366909,15.2547790124528
71,2,0,"2","3",0,2.09656117366909,15.2547790124528
72,2,0,"3","4",0,2.09656117366909,15.2547790124528
73,2,0,"4","5",0,2.09656117366909,15.2547790124528
74,2,0,"5","6",1,2.09656117366909,15.2547790124528
75,2,0,"6","7",1,2.09656117366909,15.2547790124528
76,2,0,"7","1",0,2.09656117366909,15.2547790124528
77,2,0,"1","2",0,2.09656117366909,15.2547790124528
78,2,0,"2","3",0,2.09656117366909,15.2547790124528
79,2,0,"3","4",0,2.09656117366909,15.2547790124528
80,2,0,"4","5",0,2.09656117366909,15.2547790124528
81,2,0,"5","6",1,2.09656117366909,15.2547790124528
82,2,0,"6","7",1,2.09656117366909,15.2547790124528
83,2,0,"7","1",0,2.09656117366909,15.2547790124528
84,2,0,"1","2",0,2.09656117366909,15.2547790124528
85,2,0,"2","3",0,2.09656117366909,15.2547790124528
86,2,0,"3","4",0,2.09656117366909,15.2547790124528
87,2,0,"4","5",0,2.09656117366909,15.2547790124528
88,2,0,"5","6",1,2.09656117366909,15.2547790124528
89,2,0,"6","7",1,2.09656117366909,15.2547790124528
90,2,0,"7","1",0,2.09656117366909,15.2547790124528
91,2,0,"1","2",0,2.09656117366909,15.2547790124528
92,2,0,"2","3",0,2.09656117366909,15.2547790124528
93,2,0,"3","4",0,2.09656117366909,15.2547790124528
94,2,0,"4","5",0,2.09656117366909,15.2547790124528
95,2,0,"5","6",1,2.09656117366909,15.2547790124528
96,2,0,"6","7",1,2.09656117366909,15.2547790124528
97,2,0,"7","1",0,2.09656117366909,15.2547790124528
98,2,0,"1","2",0,2.09656117366909,15.2547790124528
99,2,0,"2","3",0,2.09656117366909,15.2547790124528
100,2,0,"3","4",0,2.09656117366909,15.2547790124528
101,2,0,"4","5",0,2.09656117366909,15.2547790124528
102,2,0,"5","6",1,2.09656117366909,15.2547790124528
103,2,0,"6","7",1,2.09656117366909,15.2547790124528
104,2,0,"7","1",0,2.09656117366909,15.2547790124528
105,2,0,"1","2",0,2.09656117366909,15.2547790124528
106,2,0,"2","3",0,2.09656117366909,15.2547790124528
107,2,0,"3","4",0,2.09656117366909,15.2547790124528
108,2,0,"4","5",0,2.09656117366909,15.2547790124528
109,2,0,"5","6",1,2.09656117366909,15.2547790124528
110,2,0,"6","7",1,2.09656117366909,15.2547790124528
111,2,0,"7","1",0,2.09656117366909,15.2547790124528
112,2,0,"1","2",0,2.09656117366909,15.2547790124528
113,2,0,"2","3",0,2.09656117366909,15.2547790124528
114,2,0,"3","4",0,2.09656117366909,15.2547790124528
115,2,0,"4","5",0,2.09656117366909,15.2547790124528
116,2,0,"5","6",1,2.09656117366909,15.2547790124528
117,2,0,"6","7",1,2.09656117366909,15.2547790124528
118,2,0,"7","1",0,2.09656117366909,15.2547790124528
119,2,0,"1","2",0,2.09656117366909,15.2547790124528
