"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
30,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
31,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
32,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
33,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
34,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
35,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
36,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
37,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
38,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
39,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
40,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
41,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
42,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
43,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
44,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
45,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
46,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
47,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
48,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
49,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
50,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
51,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
52,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
53,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
54,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
55,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
56,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
57,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
58,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
59,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
60,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
61,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
62,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
63,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
64,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
65,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
66,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
67,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
68,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
69,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
70,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
71,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
72,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
73,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
74,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
75,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
76,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
77,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
78,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
79,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
80,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
81,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
82,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
83,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
84,1,0.001,"1","1",0,1.93438309914711,3.6252992973107
85,1,0.001,"2","2",0,1.93438309914711,3.6252992973107
86,1,0.001,"3","3",0,1.93438309914711,3.6252992973107
87,1,0.001,"4","4",0,1.93438309914711,3.6252992973107
88,1,0.001,"5","5",1,3.98545603888777,3.0956293912952
89,1,0.001,"6","6",1,3.98545603888777,3.0956293912952
90,1,0.001,"7","7",0,1.93438309914711,3.6252992973107
30,2,0,"3","4",0,1.93438309914711,3.6252992973107
31,2,0,"4","5",0,1.93438309914711,3.6252992973107
32,2,0,"5","6",1,3.98545603888777,3.0956293912952
33,2,0,"6","7",1,3.98545603888777,3.0956293912952
34,2,0,"7","1",0,1.93438309914711,3.6252992973107
35,2,0,"1","2",0,1.93438309914711,3.6252992973107
36,2,0,"2","3",0,1.93438309914711,3.6252992973107
37,2,0,"3","4",0,1.93438309914711,3.6252992973107
38,2,0,"4","5",0,1.93438309914711,3.6252992973107
39,2,0,"5","6",1,3.98545603888777,3.0956293912952
40,2,0,"6","7",1,3.98545603888777,3.0956293912952
41,2,0,"7","1",0,1.93438309914711,3.6252992973107
42,2,0,"1","2",0,1.93438309914711,3.6252992973107
43,2,0,"2","3",0,1.93438309914711,3.6252992973107
44,2,0,"3","4",0,1.93438309914711,3.6252992973107
45,2,0,"4","5",0,1.93438309914711,3.6252992973107
46,2,0,"5","6",1,3.98545603888777,3.0956293912952
47,2,0,"6","7",1,3.98545603888777,3.0956293912952
48,2,0,"7","1",0,1.93438309914711,3.6252992973107
49,2,0,"1","2",0,1.93438309914711,3.6252992973107
50,2,0,"2","3",0,1.93438309914711,3.6252992973107
51,2,0,"3","4",0,1.93438309914711,3.6252992973107
52,2,0,"4","5",0,1.93438309914711,3.6252992973107
53,2,0,"5","6",1,3.98545603888777,3.0956293912952
54,2,0,"6","7",1,3.98545603888777,3.0956293912952
55,2,0,"7","1",0,1.93438309914711,3.6252992973107
56,2,0,"1","2",0,1.93438309914711,3.6252992973107
57,2,1,"2","3",0,1.93438309914711,3.6252992973107
58,2,0,"3","4",0,1.93438309914711,3.6252992973107
59,2,0,"4","5",0,1.93438309914711,3.6252992973107
60,2,0,"5","6",1,3.98545603888777,3.0956293912952
61,2,0,"6","7",1,3.98545603888777,3.0956293912952
62,2,0,"7","1",0,1.93438309914711,3.6252992973107
63,2,0,"1","2",0,1.93438309914711,3.6252992973107
64,2,0,"2","3",0,1.93438309914711,3.6252992973107
65,2,0,"3","4",0,1.93438309914711,3.6252992973107
66,2,0,"4","5",0,1.93438309914711,3.6252992973107
67,2,0,"5","6",1,3.98545603888777,3.0956293912952
68,2,0,"6","7",1,3.98545603888777,3.0956293912952
69,2,0,"7","1",0,1.93438309914711,3.6252992973107
70,2,0,"1","2",0,1.93438309914711,3.6252992973107
71,2,0,"2","3",0,1.93438309914711,3.6252992973107
72,2,0,"3","4",0,1.93438309914711,3.6252992973107
73,2,0,"4","5",0,1.93438309914711,3.6252992973107
74,2,0,"5","6",1,3.98545603888777,3.0956293912952
75,2,0,"6","7",1,3.98545603888777,3.0956293912952
76,2,0,"7","1",0,1.93438309914711,3.6252992973107
77,2,0,"1","2",0,1.93438309914711,3.6252992973107
78,2,0,"2","3",0,1.93438309914711,3.6252992973107
79,2,0,"3","4",0,1.93438309914711,3.6252992973107
80,2,0,"4","5",0,1.93438309914711,3.6252992973107
