"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
54,1,0.001,"6","6",1,2.10909560480352,15.3580442812154
55,1,0.001,"7","7",0,2.10909560480352,15.3580442812154
56,1,0.001,"1","1",0,2.10909560480352,15.3580442812154
57,1,0.001,"2","2",0,2.10909560480352,15.3580442812154
58,1,0.001,"3","3",0,2.10909560480352,15.3580442812154
59,1,0.001,"4","4",0,2.10909560480352,15.3580442812154
60,1,0.001,"5","5",1,2.10909560480352,15.3580442812154
61,1,0.001,"6","6",1,2.10909560480352,15.3580442812154
62,1,0.001,"7","7",0,2.10909560480352,15.3580442812154
63,1,0.001,"1","1",0,2.10909560480352,15.3580442812154
64,1,0.001,"2","2",0,2.10909560480352,15.3580442812154
65,1,0.001,"3","3",0,2.10909560480352,15.3580442812154
66,1,0.001,"4","4",0,2.10909560480352,15.3580442812154
67,1,0.001,"5","5",1,2.10909560480352,15.3580442812154
68,1,0.001,"6","6",1,2.10909560480352,15.3580442812154
69,1,0.001,"7","7",0,2.10909560480352,15.3580442812154
70,1,0.001,"1","1",0,2.10909560480352,15.3580442812154
71,1,0.001,"2","2",0,2.10909560480352,15.3580442812154
72,1,0.001,"3","3",0,2.10909560480352,15.3580442812154
73,1,0.001,"4","4",0,2.10909560480352,15.3580442812154
74,1,0.001,"5","5",1,2.10909560480352,15.3580442812154
75,1,0.001,"6","6",1,2.10909560480352,15.3580442812154
76,1,0.001,"7","7",0,2.10909560480352,15.3580442812154
77,1,0.001,"1","1",0,2.10909560480352,15.3580442812154
78,1,0.001,"2","2",0,2.10909560480352,15.3580442812154
79,1,0.001,"3","3",0,2.10909560480352,15.3580442812154
80,1,0.001,"4","4",0,2.10909560480352,15.3580442812154
81,1,0.001,"5","5",1,2.10909560480352,15.3580442812154
82,1,0.001,"6","6",1,2.10909560480352,15.3580442812154
83,1,0.001,"7","7",0,2.10909560480352,15.3580442812154
84,1,0.001,"1","1",0,2.10909560480352,15.3580442812154
85,1,0.001,"2","2",0,2.10909560480352,15.3580442812154
86,1,0.001,"3","3",0,2.10909560480352,15.3580442812154
87,1,0.001,"4","4",0,2.10909560480352,15.3580442812154
88,1,0.001,"5","5",1,2.10909560480352,15.3580442812154
