"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
55,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
56,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
57,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
58,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
59,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
60,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
61,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
62,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
63,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
64,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
65,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
66,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
67,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
68,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
69,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
70,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
71,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
72,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
73,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
74,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
75,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
76,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
77,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
78,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
79,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
80,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
81,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
82,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
83,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
84,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
85,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
86,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
87,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
88,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
89,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
90,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
91,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
92,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
93,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
94,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
95,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
96,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
97,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
98,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
99,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
100,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
101,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
102,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
103,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
104,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
105,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
106,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
107,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
108,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
109,1,0.001,"5","5",1,2.13578426369622,15.4544015238972
110,1,0.001,"6","6",1,2.13578426369622,15.4544015238972
111,1,0.001,"7","7",0,2.13578426369622,15.4544015238972
112,1,0.001,"1","1",0,2.13578426369622,15.4544015238972
113,1,0.001,"2","2",0,2.13578426369622,15.4544015238972
114,1,0.001,"3","3",0,2.13578426369622,15.4544015238972
115,1,0.001,"4","4",0,2.13578426369622,15.4544015238972
55,2,0,"7","1",0,2.13578426369622,15.4544015238972
56,2,0,"1","2",0,2.13578426369622,15.4544015238972
57,2,0,"2","3",0,2.13578426369622,15.4544015238972
58,2,0,"3","4",0,2.13578426369622,15.4544015238972
59,2,0,"4","5",0,2.13578426369622,15.4544015238972
60,2,0,"5","6",1,2.13578426369622,15.4544015238972
61,2,0,"6","7",1,2.13578426369622,15.4544015238972
62,2,0,"7","1",0,2.13578426369622,15.4544015238972
63,2,0,"1","2",0,2.13578426369622,15.4544015238972
64,2,0,"2","3",0,2.13578426369622,15.4544015238972
65,2,0,"3","4",0,2.13578426369622,15.4544015238972
66,2,0,"4","5",0,2.13578426369622,15.4544015238972
67,2,0,"5","6",1,2.13578426369622,15.4544015238972
68,2,0,"6","7",1,2.13578426369622,15.4544015238972
69,2,0,"7","1",0,2.13578426369622,15.4544015238972
70,2,0,"1","2",0,2.13578426369622,15.4544015238972
71,2,0,"2","3",0,2.13578426369622,15.4544015238972
72,2,0,"3","4",0,2.13578426369622,15.4544015238972
73,2,0,"4","5",0,2.13578426369622,15.4544015238972
74,2,0,"5","6",1,2.13578426369622,15.4544015238972
75,2,0,"6","7",1,2.13578426369622,15.4544015238972
76,2,0,"7","1",0,2.13578426369622,15.4544015238972
