"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
64,1,0,"2","2",0,1.57885940151627,4.46240266699263
65,1,0,"3","3",0,1.57885940151627,4.46240266699263
66,1,0,"4","4",0,1.57885940151627,4.46240266699263
67,1,0,"5","5",1,1.47290876896535,4.6663867527385
68,1,0,"6","6",1,1.47290876896535,4.6663867527385
69,1,0,"7","7",0,1.57885940151627,4.46240266699263
70,1,0,"1","1",0,1.57885940151627,4.46240266699263
71,1,0,"2","2",0,1.57885940151627,4.46240266699263
72,1,0,"3","3",0,1.57885940151627,4.46240266699263
73,1,0,"4","4",0,1.57885940151627,4.46240266699263
74,1,0,"5","5",1,1.47290876896535,4.6663867527385
75,1,0,"6","6",1,1.47290876896535,4.6663867527385
76,1,0,"7","7",0,1.57885940151627,4.46240266699263
77,1,0,"1","1",0,1.57885940151627,4.46240266699263
78,1,0,"2","2",0,1.57885940151627,4.46240266699263
79,1,0,"3","3",0,1.57885940151627,4.46240266699263
80,1,0,"4","4",0,1.57885940151627,4.46240266699263
81,1,0,"5","5",1,1.47290876896535,4.6663867527385
82,1,0,"6","6",1,1.47290876896535,4.6663867527385
83,1,0,"7","7",0,1.57885940151627,4.46240266699263
84,1,0,"1","1",0,1.57885940151627,4.46240266699263
85,1,0,"2","2",0,1.57885940151627,4.46240266699263
86,1,0,"3","3",0,1.57885940151627,4.46240266699263
87,1,0,"4","4",0,1.57885940151627,4.46240266699263
88,1,0,"5","5",1,1.47290876896535,4.6663867527385
89,1,0,"6","6",1,1.47290876896535,4.6663867527385
90,1,0,"7","7",0,1.57885940151627,4.46240266699263
91,1,0,"1","1",0,1.57885940151627,4.46240266699263
92,1,0,"2","2",0,1.57885940151627,4.46240266699263
93,1,0,"3","3",0,1.57885940151627,4.46240266699263
94,1,0,"4","4",0,1.57885940151627,4.46240266699263
95,1,0,"5","5",1,1.47290876896535,4.6663867527385
96,1,0,"6","6",1,1.47290876896535,4.6663867527385
97,1,0,"7","7",0,1.57885940151627,4.46240266699263
98,1,0,"1","1",0,1.57885940151627,4.46240266699263
99,1,0,"2","2",0,1.57885940151627,4.46240266699263
100,1,0,"3","3",0,1.57885940151627,4.46240266699263
101,1,0,"4","4",0,1.57885940151627,4.46240266699263
102,1,0,"5","5",1,1.47290876896535,4.6663867527385
103,1,0,"6","6",1,1.47290876896535,4.6663867527385
104,1,0,"7","7",0,1.57885940151627,4.46240266699263
105,1,0,"1","1",0,1.57885940151627,4.46240266699263
106,1,0,"2","2",0,1.57885940151627,4.46240266699263
107,1,0,"3","3",0,1.57885940151627,4.46240266699263
108,1,0,"4","4",0,1.57885940151627,4.46240266699263
109,1,0,"5","5",1,1.47290876896535,4.6663867527385
110,1,0,"6","6",1,1.47290876896535,4.6663867527385
111,1,0,"7","7",0,1.57885940151627,4.46240266699263
112,1,0,"1","1",0,1.57885940151627,4.46240266699263
113,1,0,"2","2",0,1.57885940151627,4.46240266699263
114,1,0,"3","3",0,1.57885940151627,4.46240266699263
115,1,0,"4","4",0,1.57885940151627,4.46240266699263
116,1,0,"5","5",1,1.47290876896535,4.6663867527385
117,1,0,"6","6",1,1.47290876896535,4.6663867527385
118,1,0,"7","7",0,1.57885940151627,4.46240266699263
119,1,0,"1","1",0,1.57885940151627,4.46240266699263
120,1,0,"2","2",0,1.57885940151627,4.46240266699263
121,1,0,"3","3",0,1.57885940151627,4.46240266699263
122,1,0,"4","4",0,1.57885940151627,4.46240266699263
123,1,0,"5","5",1,1.47290876896535,4.6663867527385
124,1,0,"6","6",1,1.47290876896535,4.6663867527385
64,2,0,"2","3",0,1.57885940151627,4.46240266699263
65,2,0,"3","4",0,1.57885940151627,4.46240266699263
66,2,0,"4","5",0,1.57885940151627,4.46240266699263
67,2,0,"5","6",1,1.47290876896535,4.6663867527385
68,2,0,"6","7",1,1.47290876896535,4.6663867527385
69,2,0,"7","1",0,1.57885940151627,4.46240266699263
70,2,0,"1","2",0,1.57885940151627,4.46240266699263
71,2,0,"2","3",0,1.57885940151627,4.46240266699263
72,2,0,"3","4",0,1.57885940151627,4.46240266699263
73,2,0,"4","5",0,1.57885940151627,4.46240266699263
74,2,0,"5","6",1,1.47290876896535,4.6663867527385
75,2,0,"6","7",1,1.47290876896535,4.6663867527385
76,2,0,"7","1",0,1.57885940151627,4.46240266699263
77,2,0,"1","2",0,1.57885940151627,4.46240266699263
78,2,0,"2","3",0,1.57885940151627,4.46240266699263
79,2,0,"3","4",0,1.57885940151627,4.46240266699263
80,2,0,"4","5",0,1.57885940151627,4.46240266699263
81,2,0,"5","6",1,1.47290876896535,4.6663867527385
82,2,0,"6","7",1,1.47290876896535,4.6663867527385
83,2,0,"7","1",0,1.57885940151627,4.46240266699263
84,2,0,"1","2",0,1.57885940151627,4.46240266699263
85,2,0,"2","3",0,1.57885940151627,4.46240266699263
86,2,0,"3","4",0,1.57885940151627,4.46240266699263
87,2,0,"4","5",0,1.57885940151627,4.46240266699263
88,2,0,"5","6",1,1.47290876896535,4.6663867527385
89,2,0,"6","7",1,1.47290876896535,4.6663867527385
90,2,1,"7","1",0,1.57885940151627,4.46240266699263
91,2,0,"1","2",0,1.57885940151627,4.46240266699263
92,2,0,"2","3",0,1.57885940151627,4.46240266699263
93,2,0,"3","4",0,1.57885940151627,4.46240266699263
94,2,0,"4","5",0,1.57885940151627,4.46240266699263
95,2,0,"5","6",1,1.47290876896535,4.6663867527385
96,2,0,"6","7",1,1.47290876896535,4.6663867527385
97,2,0,"7","1",0,1.57885940151627,4.46240266699263
98,2,1,"1","2",0,1.57885940151627,4.46240266699263
99,2,0,"2","3",0,1.57885940151627,4.46240266699263
100,2,0,"3","4",0,1.57885940151627,4.46240266699263
101,2,0,"4","5",0,1.57885940151627,4.46240266699263
102,2,0,"5","6",1,1.47290876896535,4.6663867527385
103,2,0,"6","7",1,1.47290876896535,4.6663867527385
104,2,0,"7","1",0,1.57885940151627,4.46240266699263
105,2,0,"1","2",0,1.57885940151627,4.46240266699263
106,2,0,"2","3",0,1.57885940151627,4.46240266699263
107,2,0,"3","4",0,1.57885940151627,4.46240266699263
108,2,0,"4","5",0,1.57885940151627,4.46240266699263
109,2,0,"5","6",1,1.47290876896535,4.6663867527385
110,2,0,"6","7",1,1.47290876896535,4.6663867527385
111,2,0,"7","1",0,1.57885940151627,4.46240266699263
112,2,0,"1","2",0,1.57885940151627,4.46240266699263
113,2,0,"2","3",0,1.57885940151627,4.46240266699263
114,2,0,"3","4",0,1.57885940151627,4.46240266699263
115,2,0,"4","5",0,1.57885940151627,4.46240266699263
116,2,0,"5","6",1,1.47290876896535,4.6663867527385
117,2,0,"6","7",1,1.47290876896535,4.6663867527385
118,2,0,"7","1",0,1.57885940151627,4.46240266699263
119,2,0,"1","2",0,1.57885940151627,4.46240266699263
120,2,0,"2","3",0,1.57885940151627,4.46240266699263
121,2,0,"3","4",0,1.57885940151627,4.46240266699263
122,2,0,"4","5",0,1.57885940151627,4.46240266699263
123,2,0,"5","6",1,1.47290876896535,4.6663867527385
124,2,NA,"6","7",1,1.47290876896535,4.6663867527385
64,3,0,"2","4",0,1.57885940151627,4.46240266699263
65,3,0,"3","5",0,1.57885940151627,4.46240266699263
66,3,0,"4","6",0,1.57885940151627,4.46240266699263
67,3,0,"5","7",1,1.47290876896535,4.6663867527385
68,3,0,"6","1",1,1.47290876896535,4.6663867527385
69,3,0,"7","2",0,1.57885940151627,4.46240266699263
70,3,0,"1","3",0,1.57885940151627,4.46240266699263
71,3,0,"2","4",0,1.57885940151627,4.46240266699263
72,3,0,"3","5",0,1.57885940151627,4.46240266699263
73,3,0,"4","6",0,1.57885940151627,4.46240266699263
74,3,0,"5","7",1,1.47290876896535,4.6663867527385
75,3,0,"6","1",1,1.47290876896535,4.6663867527385
76,3,0,"7","2",0,1.57885940151627,4.46240266699263
77,3,0,"1","3",0,1.57885940151627,4.46240266699263
78,3,0,"2","4",0,1.57885940151627,4.46240266699263
79,3,0,"3","5",0,1.57885940151627,4.46240266699263
80,3,0,"4","6",0,1.57885940151627,4.46240266699263
81,3,0,"5","7",1,1.47290876896535,4.6663867527385
82,3,0,"6","1",1,1.47290876896535,4.6663867527385
83,3,0,"7","2",0,1.57885940151627,4.46240266699263
84,3,0,"1","3",0,1.57885940151627,4.46240266699263
85,3,0,"2","4",0,1.57885940151627,4.46240266699263
86,3,0,"3","5",0,1.57885940151627,4.46240266699263
87,3,0,"4","6",0,1.57885940151627,4.46240266699263
88,3,0,"5","7",1,1.47290876896535,4.6663867527385
89,3,0,"6","1",1,1.47290876896535,4.6663867527385
90,3,0,"7","2",0,1.57885940151627,4.46240266699263
91,3,0,"1","3",0,1.57885940151627,4.46240266699263
92,3,0,"2","4",0,1.57885940151627,4.46240266699263
93,3,0,"3","5",0,1.57885940151627,4.46240266699263
94,3,0,"4","6",0,1.57885940151627,4.46240266699263
95,3,0,"5","7",1,1.47290876896535,4.6663867527385
96,3,0,"6","1",1,1.47290876896535,4.6663867527385
97,3,0,"7","2",0,1.57885940151627,4.46240266699263
98,3,0,"1","3",0,1.57885940151627,4.46240266699263
99,3,0,"2","4",0,1.57885940151627,4.46240266699263
100,3,0,"3","5",0,1.57885940151627,4.46240266699263
101,3,0,"4","6",0,1.57885940151627,4.46240266699263
102,3,0,"5","7",1,1.47290876896535,4.6663867527385
103,3,0,"6","1",1,1.47290876896535,4.6663867527385
104,3,0,"7","2",0,1.57885940151627,4.46240266699263
105,3,0,"1","3",0,1.57885940151627,4.46240266699263
106,3,0,"2","4",0,1.57885940151627,4.46240266699263
107,3,0,"3","5",0,1.57885940151627,4.46240266699263
108,3,0,"4","6",0,1.57885940151627,4.46240266699263
109,3,0,"5","7",1,1.47290876896535,4.6663867527385
110,3,0,"6","1",1,1.47290876896535,4.6663867527385
111,3,0,"7","2",0,1.57885940151627,4.46240266699263
112,3,0,"1","3",0,1.57885940151627,4.46240266699263
113,3,0,"2","4",0,1.57885940151627,4.46240266699263
114,3,0,"3","5",0,1.57885940151627,4.46240266699263
115,3,0,"4","6",0,1.57885940151627,4.46240266699263
116,3,0,"5","7",1,1.47290876896535,4.6663867527385
117,3,0,"6","1",1,1.47290876896535,4.6663867527385
118,3,0,"7","2",0,1.57885940151627,4.46240266699263
119,3,0,"1","3",0,1.57885940151627,4.46240266699263
120,3,0,"2","4",0,1.57885940151627,4.46240266699263
121,3,0,"3","5",0,1.57885940151627,4.46240266699263
122,3,0,"4","6",0,1.57885940151627,4.46240266699263
123,3,NA,"5","7",1,1.47290876896535,4.6663867527385
124,3,NA,"6","1",1,1.47290876896535,4.6663867527385
64,4,2,"2","5",0,1.57885940151627,4.46240266699263
65,4,6,"3","6",0,1.57885940151627,4.46240266699263
66,4,7,"4","7",0,1.57885940151627,4.46240266699263
67,4,5,"5","1",1,1.47290876896535,4.6663867527385
68,4,4,"6","2",1,1.47290876896535,4.6663867527385
