"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
62,1,0,"7","7",0,2.11443561925428,15.4388793523814
63,1,0,"1","1",0,2.11443561925428,15.4388793523814
64,1,0,"2","2",0,2.11443561925428,15.4388793523814
65,1,0,"3","3",0,2.11443561925428,15.4388793523814
66,1,0,"4","4",0,2.11443561925428,15.4388793523814
67,1,0,"5","5",1,2.11443561925428,15.4388793523814
68,1,0,"6","6",1,2.11443561925428,15.4388793523814
69,1,0,"7","7",0,2.11443561925428,15.4388793523814
70,1,0,"1","1",0,2.11443561925428,15.4388793523814
71,1,0,"2","2",0,2.11443561925428,15.4388793523814
72,1,0,"3","3",0,2.11443561925428,15.4388793523814
73,1,0,"4","4",0,2.11443561925428,15.4388793523814
74,1,0,"5","5",1,2.11443561925428,15.4388793523814
75,1,0,"6","6",1,2.11443561925428,15.4388793523814
76,1,0,"7","7",0,2.11443561925428,15.4388793523814
77,1,0,"1","1",0,2.11443561925428,15.4388793523814
78,1,0,"2","2",0,2.11443561925428,15.4388793523814
79,1,0,"3","3",0,2.11443561925428,15.4388793523814
80,1,0,"4","4",0,2.11443561925428,15.4388793523814
81,1,0,"5","5",1,2.11443561925428,15.4388793523814
82,1,0,"6","6",1,2.11443561925428,15.4388793523814
83,1,0,"7","7",0,2.11443561925428,15.4388793523814
84,1,0,"1","1",0,2.11443561925428,15.4388793523814
85,1,0,"2","2",0,2.11443561925428,15.4388793523814
86,1,0,"3","3",0,2.11443561925428,15.4388793523814
87,1,0,"4","4",0,2.11443561925428,15.4388793523814
88,1,0,"5","5",1,2.11443561925428,15.4388793523814
89,1,0,"6","6",1,2.11443561925428,15.4388793523814
90,1,0,"7","7",0,2.11443561925428,15.4388793523814
91,1,0,"1","1",0,2.11443561925428,15.4388793523814
92,1,0,"2","2",0,2.11443561925428,15.4388793523814
93,1,0,"3","3",0,2.11443561925428,15.4388793523814
94,1,0,"4","4",0,2.11443561925428,15.4388793523814
95,1,0,"5","5",1,2.11443561925428,15.4388793523814
96,1,0,"6","6",1,2.11443561925428,15.4388793523814
97,1,0,"7","7",0,2.11443561925428,15.4388793523814
98,1,0,"1","1",0,2.11443561925428,15.4388793523814
99,1,0,"2","2",0,2.11443561925428,15.4388793523814
100,1,0,"3","3",0,2.11443561925428,15.4388793523814
101,1,0,"4","4",0,2.11443561925428,15.4388793523814
102,1,0,"5","5",1,2.11443561925428,15.4388793523814
