"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
27,1,0,"7","7",0,1.90342350451021,3.57387176987967
28,1,0,"1","1",0,1.90342350451021,3.57387176987967
29,1,0,"2","2",0,1.90342350451021,3.57387176987967
30,1,0,"3","3",0,1.90342350451021,3.57387176987967
31,1,0,"4","4",0,1.90342350451021,3.57387176987967
32,1,0,"5","5",1,4.07786906061978,3.12312685895171
33,1,0,"6","6",1,4.07786906061978,3.12312685895171
34,1,0,"7","7",0,1.90342350451021,3.57387176987967
35,1,0,"1","1",0,1.90342350451021,3.57387176987967
36,1,0,"2","2",0,1.90342350451021,3.57387176987967
37,1,0,"3","3",0,1.90342350451021,3.57387176987967
38,1,0,"4","4",0,1.90342350451021,3.57387176987967
39,1,0,"5","5",1,4.07786906061978,3.12312685895171
40,1,0,"6","6",1,4.07786906061978,3.12312685895171
41,1,0,"7","7",0,1.90342350451021,3.57387176987967
42,1,0,"1","1",0,1.90342350451021,3.57387176987967
43,1,0,"2","2",0,1.90342350451021,3.57387176987967
44,1,0,"3","3",0,1.90342350451021,3.57387176987967
45,1,0,"4","4",0,1.90342350451021,3.57387176987967
46,1,0,"5","5",1,4.07786906061978,3.12312685895171
47,1,0,"6","6",1,4.07786906061978,3.12312685895171
48,1,0,"7","7",0,1.90342350451021,3.57387176987967
49,1,0,"1","1",0,1.90342350451021,3.57387176987967
50,1,0,"2","2",0,1.90342350451021,3.57387176987967
51,1,0,"3","3",0,1.90342350451021,3.57387176987967
52,1,0,"4","4",0,1.90342350451021,3.57387176987967
53,1,0,"5","5",1,4.07786906061978,3.12312685895171
54,1,0,"6","6",1,4.07786906061978,3.12312685895171
55,1,0,"7","7",0,1.90342350451021,3.57387176987967
56,1,0,"1","1",0,1.90342350451021,3.57387176987967
57,1,0,"2","2",0,1.90342350451021,3.57387176987967
58,1,0,"3","3",0,1.90342350451021,3.57387176987967
59,1,0,"4","4",0,1.90342350451021,3.57387176987967
60,1,0,"5","5",1,4.07786906061978,3.12312685895171
61,1,0,"6","6",1,4.07786906061978,3.12312685895171
62,1,0,"7","7",0,1.90342350451021,3.57387176987967
63,1,0,"1","1",0,1.90342350451021,3.57387176987967
64,1,0,"2","2",0,1.90342350451021,3.57387176987967
65,1,0,"3","3",0,1.90342350451021,3.57387176987967
66,1,0,"4","4",0,1.90342350451021,3.57387176987967
67,1,0,"5","5",1,4.07786906061978,3.12312685895171
68,1,0,"6","6",1,4.07786906061978,3.12312685895171
69,1,0,"7","7",0,1.90342350451021,3.57387176987967
70,1,0,"1","1",0,1.90342350451021,3.57387176987967
71,1,0,"2","2",0,1.90342350451021,3.57387176987967
72,1,0,"3","3",0,1.90342350451021,3.57387176987967
73,1,0,"4","4",0,1.90342350451021,3.57387176987967
74,1,0,"5","5",1,4.07786906061978,3.12312685895171
75,1,0,"6","6",1,4.07786906061978,3.12312685895171
76,1,0,"7","7",0,1.90342350451021,3.57387176987967
77,1,0,"1","1",0,1.90342350451021,3.57387176987967
78,1,0,"2","2",0,1.90342350451021,3.57387176987967
79,1,0,"3","3",0,1.90342350451021,3.57387176987967
80,1,0,"4","4",0,1.90342350451021,3.57387176987967
81,1,0,"5","5",1,4.07786906061978,3.12312685895171
82,1,0,"6","6",1,4.07786906061978,3.12312685895171
83,1,0,"7","7",0,1.90342350451021,3.57387176987967
84,1,0,"1","1",0,1.90342350451021,3.57387176987967
85,1,0,"2","2",0,1.90342350451021,3.57387176987967
86,1,0,"3","3",0,1.90342350451021,3.57387176987967
87,1,0,"4","4",0,1.90342350451021,3.57387176987967
27,2,0,"7","1",0,1.90342350451021,3.57387176987967
28,2,0,"1","2",0,1.90342350451021,3.57387176987967
29,2,0,"2","3",0,1.90342350451021,3.57387176987967
30,2,0,"3","4",0,1.90342350451021,3.57387176987967
31,2,0,"4","5",0,1.90342350451021,3.57387176987967
32,2,0,"5","6",1,4.07786906061978,3.12312685895171
33,2,0,"6","7",1,4.07786906061978,3.12312685895171
34,2,0,"7","1",0,1.90342350451021,3.57387176987967
35,2,0,"1","2",0,1.90342350451021,3.57387176987967
36,2,0,"2","3",0,1.90342350451021,3.57387176987967
37,2,0,"3","4",0,1.90342350451021,3.57387176987967
38,2,0,"4","5",0,1.90342350451021,3.57387176987967
39,2,0,"5","6",1,4.07786906061978,3.12312685895171
40,2,0,"6","7",1,4.07786906061978,3.12312685895171
41,2,0,"7","1",0,1.90342350451021,3.57387176987967
42,2,0,"1","2",0,1.90342350451021,3.57387176987967
43,2,0,"2","3",0,1.90342350451021,3.57387176987967
44,2,0,"3","4",0,1.90342350451021,3.57387176987967
45,2,0,"4","5",0,1.90342350451021,3.57387176987967
46,2,0,"5","6",1,4.07786906061978,3.12312685895171
47,2,0,"6","7",1,4.07786906061978,3.12312685895171
48,2,0,"7","1",0,1.90342350451021,3.57387176987967
49,2,0,"1","2",0,1.90342350451021,3.57387176987967
50,2,0,"2","3",0,1.90342350451021,3.57387176987967
51,2,0,"3","4",0,1.90342350451021,3.57387176987967
52,2,0,"4","5",0,1.90342350451021,3.57387176987967
53,2,0,"5","6",1,4.07786906061978,3.12312685895171
54,2,0,"6","7",1,4.07786906061978,3.12312685895171
55,2,0,"7","1",0,1.90342350451021,3.57387176987967
56,2,0,"1","2",0,1.90342350451021,3.57387176987967
57,2,1,"2","3",0,1.90342350451021,3.57387176987967
58,2,0,"3","4",0,1.90342350451021,3.57387176987967
59,2,0,"4","5",0,1.90342350451021,3.57387176987967
60,2,0,"5","6",1,4.07786906061978,3.12312685895171
61,2,0,"6","7",1,4.07786906061978,3.12312685895171
62,2,0,"7","1",0,1.90342350451021,3.57387176987967
63,2,0,"1","2",0,1.90342350451021,3.57387176987967
64,2,0,"2","3",0,1.90342350451021,3.57387176987967
65,2,0,"3","4",0,1.90342350451021,3.57387176987967
66,2,0,"4","5",0,1.90342350451021,3.57387176987967
67,2,0,"5","6",1,4.07786906061978,3.12312685895171
68,2,0,"6","7",1,4.07786906061978,3.12312685895171
69,2,0,"7","1",0,1.90342350451021,3.57387176987967
70,2,0,"1","2",0,1.90342350451021,3.57387176987967
71,2,0,"2","3",0,1.90342350451021,3.57387176987967
