"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
55,1,0,"7","7",0,1.56343129592494,4.32364377427069
56,1,0,"1","1",0,1.56343129592494,4.32364377427069
57,1,0,"2","2",0,1.56343129592494,4.32364377427069
58,1,0,"3","3",0,1.56343129592494,4.32364377427069
59,1,0,"4","4",0,1.56343129592494,4.32364377427069
60,1,0,"5","5",1,1.47499222463012,5.06250743358116
61,1,0,"6","6",1,1.47499222463012,5.06250743358116
62,1,0,"7","7",0,1.56343129592494,4.32364377427069
63,1,0,"1","1",0,1.56343129592494,4.32364377427069
64,1,0,"2","2",0,1.56343129592494,4.32364377427069
65,1,0,"3","3",0,1.56343129592494,4.32364377427069
66,1,0,"4","4",0,1.56343129592494,4.32364377427069
67,1,0,"5","5",1,1.47499222463012,5.06250743358116
68,1,0,"6","6",1,1.47499222463012,5.06250743358116
69,1,0,"7","7",0,1.56343129592494,4.32364377427069
70,1,0,"1","1",0,1.56343129592494,4.32364377427069
71,1,0,"2","2",0,1.56343129592494,4.32364377427069
72,1,0,"3","3",0,1.56343129592494,4.32364377427069
73,1,0,"4","4",0,1.56343129592494,4.32364377427069
74,1,0,"5","5",1,1.47499222463012,5.06250743358116
75,1,0,"6","6",1,1.47499222463012,5.06250743358116
76,1,0,"7","7",0,1.56343129592494,4.32364377427069
77,1,0,"1","1",0,1.56343129592494,4.32364377427069
78,1,0,"2","2",0,1.56343129592494,4.32364377427069
79,1,0,"3","3",0,1.56343129592494,4.32364377427069
80,1,0,"4","4",0,1.56343129592494,4.32364377427069
81,1,0,"5","5",1,1.47499222463012,5.06250743358116
82,1,0,"6","6",1,1.47499222463012,5.06250743358116
83,1,0,"7","7",0,1.56343129592494,4.32364377427069
84,1,0,"1","1",0,1.56343129592494,4.32364377427069
85,1,0,"2","2",0,1.56343129592494,4.32364377427069
86,1,0,"3","3",0,1.56343129592494,4.32364377427069
87,1,0,"4","4",0,1.56343129592494,4.32364377427069
88,1,0,"5","5",1,1.47499222463012,5.06250743358116
89,1,0,"6","6",1,1.47499222463012,5.06250743358116
90,1,0,"7","7",0,1.56343129592494,4.32364377427069
91,1,0,"1","1",0,1.56343129592494,4.32364377427069
92,1,0,"2","2",0,1.56343129592494,4.32364377427069
93,1,0,"3","3",0,1.56343129592494,4.32364377427069
94,1,0,"4","4",0,1.56343129592494,4.32364377427069
95,1,0,"5","5",1,1.47499222463012,5.06250743358116
96,1,0,"6","6",1,1.47499222463012,5.06250743358116
97,1,0,"7","7",0,1.56343129592494,4.32364377427069
98,1,0,"1","1",0,1.56343129592494,4.32364377427069
99,1,0,"2","2",0,1.56343129592494,4.32364377427069
100,1,0,"3","3",0,1.56343129592494,4.32364377427069
101,1,0,"4","4",0,1.56343129592494,4.32364377427069
102,1,0,"5","5",1,1.47499222463012,5.06250743358116
103,1,0,"6","6",1,1.47499222463012,5.06250743358116
104,1,0,"7","7",0,1.56343129592494,4.32364377427069
105,1,0,"1","1",0,1.56343129592494,4.32364377427069
106,1,0,"2","2",0,1.56343129592494,4.32364377427069
107,1,0,"3","3",0,1.56343129592494,4.32364377427069
108,1,0,"4","4",0,1.56343129592494,4.32364377427069
109,1,0,"5","5",1,1.47499222463012,5.06250743358116
110,1,0,"6","6",1,1.47499222463012,5.06250743358116
111,1,0,"7","7",0,1.56343129592494,4.32364377427069
112,1,0,"1","1",0,1.56343129592494,4.32364377427069
113,1,0,"2","2",0,1.56343129592494,4.32364377427069
114,1,0,"3","3",0,1.56343129592494,4.32364377427069
115,1,0,"4","4",0,1.56343129592494,4.32364377427069
55,2,0,"7","1",0,1.56343129592494,4.32364377427069
56,2,0,"1","2",0,1.56343129592494,4.32364377427069
57,2,1,"2","3",0,1.56343129592494,4.32364377427069
58,2,0,"3","4",0,1.56343129592494,4.32364377427069
59,2,0,"4","5",0,1.56343129592494,4.32364377427069
60,2,0,"5","6",1,1.47499222463012,5.06250743358116
