"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
41,1,0,"7","7",0,2.02612634098804,3.48465358595291
42,1,0,"1","1",0,2.02612634098804,3.48465358595291
43,1,0,"2","2",0,2.02612634098804,3.48465358595291
44,1,0,"3","3",0,2.02612634098804,3.48465358595291
45,1,0,"4","4",0,2.02612634098804,3.48465358595291
46,1,0,"5","5",1,2.95289030020293,3.41293531633992
47,1,0,"6","6",1,2.95289030020293,3.41293531633992
48,1,0,"7","7",0,2.02612634098804,3.48465358595291
49,1,0,"1","1",0,2.02612634098804,3.48465358595291
50,1,0,"2","2",0,2.02612634098804,3.48465358595291
51,1,0,"3","3",0,2.02612634098804,3.48465358595291
52,1,0,"4","4",0,2.02612634098804,3.48465358595291
53,1,0,"5","5",1,2.95289030020293,3.41293531633992
54,1,0,"6","6",1,2.95289030020293,3.41293531633992
55,1,0,"7","7",0,2.02612634098804,3.48465358595291
56,1,0,"1","1",0,2.02612634098804,3.48465358595291
57,1,0,"2","2",0,2.02612634098804,3.48465358595291
58,1,0,"3","3",0,2.02612634098804,3.48465358595291
59,1,0,"4","4",0,2.02612634098804,3.48465358595291
60,1,0,"5","5",1,2.95289030020293,3.41293531633992
61,1,0,"6","6",1,2.95289030020293,3.41293531633992
62,1,0,"7","7",0,2.02612634098804,3.48465358595291
63,1,0,"1","1",0,2.02612634098804,3.48465358595291
64,1,0,"2","2",0,2.02612634098804,3.48465358595291
65,1,0,"3","3",0,2.02612634098804,3.48465358595291
66,1,0,"4","4",0,2.02612634098804,3.48465358595291
67,1,0,"5","5",1,2.95289030020293,3.41293531633992
68,1,0,"6","6",1,2.95289030020293,3.41293531633992
69,1,0,"7","7",0,2.02612634098804,3.48465358595291
70,1,0,"1","1",0,2.02612634098804,3.48465358595291
71,1,0,"2","2",0,2.02612634098804,3.48465358595291
72,1,0,"3","3",0,2.02612634098804,3.48465358595291
73,1,0,"4","4",0,2.02612634098804,3.48465358595291
74,1,0,"5","5",1,2.95289030020293,3.41293531633992
75,1,0,"6","6",1,2.95289030020293,3.41293531633992
76,1,0,"7","7",0,2.02612634098804,3.48465358595291
77,1,0,"1","1",0,2.02612634098804,3.48465358595291
78,1,0,"2","2",0,2.02612634098804,3.48465358595291
79,1,0,"3","3",0,2.02612634098804,3.48465358595291
80,1,0,"4","4",0,2.02612634098804,3.48465358595291
81,1,0,"5","5",1,2.95289030020293,3.41293531633992
82,1,0,"6","6",1,2.95289030020293,3.41293531633992
83,1,0,"7","7",0,2.02612634098804,3.48465358595291
